736,767,799,833,868,904,942,982,1023,1066,1111,1157,1206,1256,1309,1364,1422,1481,1543,1608,1676
436,454,473,493,514,536,558,582,606,631,658,686,714,744,776,808,842,877,914,953,993
627,653,681,709,739,770,803,836,871,908,946,986,1027,1070,1115,1162,1211,1262,1315,1370,1428
738,769,801,835,870,907,945,984,1026,1069,1114,1160,1209,1260,1313,1368,1425,1485,1548,1613,1680
422,440,458,477,497,518,540,563,586,611,637,664,691,720,751,782,815,849,885,922,961
386,402,419,437,455,474,494,515,536,559,582,607,632,659,687,715,746,777,809,843,879
1168,1207,1246,1287,1330,1374,1419,1466,1514,1564,1616,1669,1724,1781,1840,1901,1964,2028,2095,2164,2236
848,884,921,959,1000,1042,1085,1131,1179,1228,1280,1333,1389,1448,1508,1572,1638,1707,1778,1853,1931
1236,1277,1319,1362,1407,1454,1502,1551,1603,1655,1710,1767,1825,1885,1947,2012,2078,2146,2217,2290,2366
978,1010,1044,1078,1114,1150,1188,1228,1268,1310,1353,1398,1444,1492,1541,1592,1644,1698,1754,1812,1872
929,960,991,1024,1058,1093,1129,1166,1205,1244,1285,1328,1372,1417,1464,1512,1562,1613,1667,1722,1778
1486,1548,1613,1681,1752,1825,1902,1982,2065,2152,2242,2336,2435,2537,2643,2754,2870,2991,3116,3247,3384
1723,1795,1871,1949,2031,2117,2205,2298,2395,2495,2600,2709,2823,2941,3065,3194,3328,3468,3613,3765,3923
1364,1421,1481,1543,1608,1676,1746,1819,1896,1975,2058,2145,2235,2329,2426,2528,2634,2745,2860,2981,3106
352,367,382,398,415,432,451,469,489,510,531,553,577,601,626,652,680,708,738,769,801
2430,2532,2638,2749,2865,2985,3110,3241,3377,3519,3667,3821,3981,4148,4323,4504,4693,4891,5096,5310,5533
1563,1629,1697,1768,1843,1920,2001,2085,2172,2263,2359,2458,2561,2668,2780,2897,3019,3146,3278,3415,3559
834,865,897,930,964,1000,1037,1076,1115,1157,1199,1244,1290,1337,1387,1438,1492,1547,1604,1663,1725
642,662,682,704,725,748,771,795,820,845,871,898,926,955,984,1015,1046,1079,1112,1147,1182
438,454,471,488,507,525,545,565,586,607,630,653,677,702,728,755,783,812,842,874,906
762,790,819,850,881,914,948,983,1019,1057,1096,1136,1178,1222,1267,1314,1363,1413,1465,1520,1576
2345,2432,2522,2615,2712,2812,2916,3024,3136,3252,3372,3497,3627,3761,3900,4044,4194,4349,4510,4677,4850
973,1009,1046,1085,1125,1167,1210,1255,1301,1349,1399,1451,1505,1560,1618,1678,1740,1804,1871,1940,2012
823,853,885,918,952,987,1023,1061,1101,1141,1184,1227,1273,1320,1369,1419,1472,1526,1583,1641,1702
438,454,471,488,507,525,545,565,586,607,630,653,677,702,728,755,783,812,842,874,906
862,894,927,961,997,1034,1072,1112,1153,1195,1240,1286,1333,1382,1434,1487,1542,1599,1658,1719,1783
1345,1395,1446,1500,1555,1613,1673,1734,1799,1865,1934,2006,2080,2157,2237,2320,2405,2494,2587,2682,2782
834,860,887,914,942,972,1002,1033,1065,1098,1132,1167,1203,1240,1279,1318,1359,1401,1445,1490,1536
1234,1280,1327,1376,1427,1480,1535,1591,1650,1711,1775,1840,1908,1979,2052,2128,2207,2289,2373,2461,2552
5382,5549,5721,5898,6081,6270,6464,6664,6871,7084,7303,7530,7763,8004,8252,8508,8772,9044,9324,9613,9911
1320,1368,1417,1468,1521,1575,1632,1691,1752,1815,1880,1948,2018,2091,2166,2244,2325,2408,2495,2585,2678
1287,1333,1381,1431,1483,1536,1591,1649,1708,1769,1833,1899,1967,2038,2112,2188,2266,2348,2433,2520,2611
1706,1759,1813,1870,1928,1987,2049,2112,2178,2245,2315,2387,2461,2537,2616,2697,2780,2867,2956,3047,3142
1682,1743,1805,1870,1938,2007,2080,2154,2232,2312,2396,2482,2571,2664,2760,2859,2962,3069,3179,3294,3412
538,557,577,598,620,642,665,689,714,740,766,794,822,852,883,914,947,982,1017,1053,1091
973,1008,1044,1082,1121,1161,1203,1246,1291,1338,1386,1436,1487,1541,1596,1654,1713,1775,1839,1905,1974
1246,1291,1337,1385,1435,1487,1541,1596,1653,1713,1775,1839,1905,1973,2044,2118,2194,2273,2355,2440,2528
438,454,470,487,505,523,542,561,581,602,624,646,670,694,719,745,771,799,828,858,889
246,256,267,278,289,301,313,326,339,353,368,383,398,415,432,449,468,487,507,528,549
613,638,664,692,720,749,780,812,845,880,916,954,993,1034,1076,1120,1166,1214,1263,1315,1369
762,793,826,860,895,932,970,1010,1051,1094,1139,1186,1234,1285,1337,1392,1449,1509,1571,1635,1702
234,244,254,264,275,286,298,310,323,336,350,364,379,395,411,428,445,463,482,502,523
446,462,479,496,514,532,551,571,592,613,635,658,682,706,732,758,785,814,843,873,905
853,884,916,948,983,1018,1055,1093,1132,1173,1215,1259,1304,1351,1400,1450,1502,1556,1612,1670,1730
725,751,778,806,835,865,896,929,962,997,1033,1070,1108,1148,1190,1232,1277,1323,1370,1420,1471
534,553,573,594,615,637,660,684,709,734,761,788,816,846,876,908,940,974,1009,1046,1083
432,450,469,489,509,531,553,576,600,626,652,679,708,738,768,801,834,869,906,944,984
124,131,137,145,152,161,169,178,187,197,208,219,230,243,256,269,283,298,314,331,348
182,192,202,212,224,236,248,261,275,290,305,321,338,356,375,395,416,438,461,486,511
175,184,194,204,215,227,239,251,265,279,293,309,325,342,361,380,400,421,443,467,492
